Matrix size,Block size,num_threads,seq_time,seq_performance,par_for_time,par_for_performance,par_task_wait,par_task_wait_performance,par_task_deps_time,par_task_deps_performance
1000,10,6,41.665016,8.000317,28.705002,11.612378,46.333015,7.194294,45.527996,7.321503
1000,10,6,41.662006,8.000895,28.600990,11.654608,46.613007,7.151080,44.605003,7.473003
1000,10,6,41.741013,7.985751,28.525978,11.685255,46.550007,7.160758,44.710011,7.455452
1000,10,8,46.833038,7.117483,31.004011,10.751297,51.366985,6.489253,46.986996,7.094161
1000,10,8,44.723000,7.453287,31.209000,10.680680,49.951000,6.673206,43.401001,7.680314
1000,10,8,40.838005,8.162332,28.612019,11.650116,46.835987,7.117034,44.167965,7.546948
1000,10,8,42.577980,7.828773,24.879992,13.397646,46.564995,7.158453,44.856010,7.431185
1000,10,8,41.851997,7.964574,24.886013,13.394405,46.591995,7.154305,44.909000,7.422417
1000,10,8,42.117996,7.914273,28.216995,11.813211,47.320007,7.044237,46.002998,7.245904
1000,10,8,41.958004,7.944452,25.354980,13.146661,46.792984,7.123575,44.945000,7.416472
1000,10,10,47.583996,7.005156,207.117920,1.609389,46.100975,7.230505,43.027996,7.746894
1000,10,10,41.817009,7.971238,185.923004,1.792857,45.749962,7.285981,43.598949,7.645444
1000,10,10,42.118011,7.914270,215.850952,1.544276,45.912979,7.260111,43.553947,7.653344
1000,10,10,41.133015,8.103790,202.648010,1.644888,45.729996,7.289162,45.471012,7.330678
1000,10,10,41.158974,8.098680,184.382019,1.807841,46.292007,7.200667,43.958008,7.582994
1000,10,10,42.201996,7.898520,185.147018,1.800371,44.786007,7.442801,42.838009,7.781252
1000,10,10,40.631981,8.203719,204.632996,1.628932,46.207012,7.213912,43.065010,7.740235
1000,10,2,40.628017,8.204519,24.120987,13.819224,42.545021,7.834838,42.587044,7.827107
1000,10,2,40.831028,8.163726,24.182976,13.783802,42.771996,7.793261,42.792976,7.789440
1000,10,2,41.627998,8.007431,24.284996,13.725896,42.543011,7.835208,42.686001,7.808961
1000,10,2,40.825993,8.164733,24.213999,13.766141,42.526989,7.838160,42.768002,7.793989
1000,10,2,41.951000,7.945778,24.678946,13.506790,43.897034,7.593528,45.207977,7.373330
1000,10,2,41.143955,8.101636,24.179995,13.785501,42.583050,7.827841,42.779030,7.791980
1000,10,2,40.825962,8.164739,24.143934,13.806090,42.762039,7.795075,42.863964,7.776540
1000,10,4,40.507019,8.229027,23.342014,14.280402,43.865978,7.598903,42.683064,7.809498
1000,10,4,41.839005,7.967048,20.550013,16.220591,44.586002,7.476188,43.528004,7.657905
1000,10,4,40.798008,8.170334,23.209005,14.362241,44.177979,7.545237,42.814972,7.785439
1000,10,4,41.146042,8.101225,21.889984,15.227664,44.140041,7.551723,42.816998,7.785070
1000,10,4,40.775002,8.174944,23.360014,14.269398,44.218002,7.538407,42.830051,7.782698
1000,10,4,40.630005,8.204118,20.389990,16.347891,43.883995,7.595784,42.882996,7.773089
1000,10,4,43.152004,7.724631,23.847013,13.977990,46.528011,7.164143,45.197994,7.374959
1000,10,6,43.665020,7.633875,28.557003,11.672561,46.559990,7.159223,42.937996,7.763133
1000,10,6,40.817024,8.166528,29.066980,11.467767,46.167969,7.220013,42.755009,7.796358
1000,10,6,40.946007,8.140802,28.428019,11.725521,46.220005,7.211884,43.181957,7.719274
1000,10,6,41.025997,8.124929,28.345003,11.759862,46.449005,7.176329,43.579994,7.648769
1000,10,6,41.040005,8.122156,27.756006,12.009413,46.210022,7.213443,43.407024,7.679249
1000,10,6,40.865005,8.156939,28.025032,11.894129,46.563030,7.158755,43.354988,7.688466
1000,10,6,42.213978,7.896279,28.136015,11.847212,46.431004,7.179111,43.529987,7.657557
1000,10,8,44.021996,7.571973,25.548994,13.046828,46.171993,7.219384,44.479996,7.494006
1000,10,8,41.474014,8.037161,25.319994,13.164827,46.412975,7.181900,44.472992,7.495186
1000,10,8,42.922020,7.766022,25.121033,13.269094,46.594978,7.153847,44.664978,7.462968
1000,10,8,41.441978,8.043374,26.313961,12.667547,46.674011,7.141733,44.605019,7.473001
1000,10,8,41.707008,7.992262,24.416000,13.652250,48.520981,6.869880,44.830978,7.435335
1000,10,8,43.657990,7.635105,27.962000,11.920940,48.490017,6.874267,47.020973,7.089036
1000,10,8,41.148006,8.100838,28.613985,11.649316,47.014954,7.089943,44.344963,7.516825
1000,10,10,44.166000,7.547284,188.677994,1.766678,46.640991,7.146789,44.483006,7.493498
1000,10,10,42.196007,7.899642,211.856003,1.573396,45.943024,7.255364,42.903008,7.769464
1000,10,10,40.920021,8.145972,189.031067,1.763379,46.579002,7.156300,43.950081,7.584362
1000,10,10,43.063999,7.740417,189.382996,1.760102,47.366978,7.037251,45.153976,7.382148
1000,10,10,42.231022,7.893092,187.469009,1.778072,46.582996,7.155687,42.633057,7.818659
1000,10,10,41.463001,8.039295,188.780991,1.765715,46.043007,7.239608,42.948990,7.761145
1000,10,10,41.325031,8.066136,188.888016,1.764714,51.627995,6.456446,43.372036,7.685444
