Matrix size,Block size,num_threads,seq_time,seq_performance,par_for_time,par_for_performance,par_task_wait,par_task_wait_performance,par_task_deps_time,par_task_deps_performance
1000,10,2,35.041988,9.512398,24.818003,13.431110,46.818970,7.119621,49.044014,6.796616
1000,10,2,35.073997,9.503717,25.399982,13.123368,48.160015,6.921371,51.402985,6.484707
1000,10,2,34.120003,9.769441,24.768993,13.457686,46.147003,7.223293,48.676998,6.847861
1000,10,2,35.230011,9.461630,25.307983,13.171075,48.579006,6.861674,50.233990,6.635613
1000,10,2,34.982025,9.528703,29.066027,11.468143,46.823025,7.119005,48.889996,6.818027
1000,10,2,35.297989,9.443408,25.306999,13.171586,48.497974,6.873139,50.366997,6.618090
1000,10,4,37.633957,8.857249,28.751968,11.593409,66.045998,5.046988,66.805008,4.989646
1000,10,4,37.483990,8.892686,28.180004,11.828719,63.980995,5.209880,66.040993,5.047370
1000,10,4,37.568005,8.872799,28.234989,11.805683,65.214989,5.111299,67.045990,4.971712
1000,10,4,37.479042,8.893859,28.852999,11.552814,64.981041,5.129701,65.203964,5.112164
1000,10,4,37.123024,8.979154,28.538942,11.679947,65.237999,5.109497,66.529991,5.010272
1000,10,4,37.611008,8.862654,28.829992,11.562034,65.237999,5.109497,66.168007,5.037681
1000,10,4,37.805019,8.817171,28.566002,11.668882,66.116989,5.041569,65.973999,5.052495
1000,10,6,34.573017,9.641430,31.431019,10.605234,53.492008,6.231460,54.468990,6.119690
1000,10,6,35.084007,9.501004,35.140991,9.485599,76.625999,4.350133,79.146980,4.211574
1000,10,6,37.031994,9.001225,42.481007,7.846644,94.219986,3.537820,95.448013,3.492302
1000,10,6,37.450016,8.900753,42.196991,7.899458,73.583961,4.529973,67.457024,4.941418
1000,10,6,37.536026,8.880358,38.305046,8.702074,67.436043,4.942955,68.468987,4.868384
1000,10,6,37.564999,8.873508,42.353004,7.870358,95.343010,3.496149,95.252007,3.499489
1000,10,6,37.197979,8.961061,38.729996,8.606594,67.615982,4.929801,68.610016,4.858377
1000,10,8,35.095036,9.498019,43.329002,7.693077,76.840996,4.337962,79.483032,4.193767
1000,10,8,34.509003,9.659315,32.077969,10.391348,76.421021,4.361802,78.635933,4.238945
1000,10,8,37.588001,8.868078,40.316002,8.268016,95.983002,3.472837,98.067017,3.399036
1000,10,8,37.373005,8.919093,40.648045,8.200477,98.397018,3.387637,97.972992,3.402298
1000,10,8,37.182987,8.964673,39.707005,8.394824,98.592934,3.380905,96.704010,3.446944
1000,10,8,37.302002,8.936070,40.526001,8.225172,99.070015,3.364624,96.146019,3.466949
1000,10,8,38.498043,8.658448,40.853024,8.159330,98.224998,3.393569,95.252991,3.499453
1000,10,10,34.608006,9.631682,63.479008,5.251080,101.074043,3.297912,94.645020,3.521932
1000,10,10,36.992996,9.010715,88.291016,3.775393,189.379990,1.760130,52.541016,6.344250
1000,10,10,37.104965,8.983524,63.620983,5.239361,103.323997,3.226098,97.985031,3.401880
1000,10,10,37.625008,8.859356,71.410995,4.667815,105.770988,3.151463,94.001976,3.546025
1000,10,10,37.263035,8.945415,63.546001,5.245544,102.921967,3.238700,98.365005,3.388739
1000,10,10,34.038960,9.792700,64.063011,5.203210,106.251060,3.137223,98.174927,3.395300
1000,10,10,37.828983,8.811586,94.069000,3.543498,150.449005,2.215590,77.454987,4.303575
1000,10,2,34.027012,9.796140,28.231026,11.807341,46.566994,7.158146,47.214985,7.059906
1000,10,2,34.182995,9.751437,24.950981,13.359529,46.444000,7.177103,47.577023,7.006183
1000,10,2,33.993004,9.805939,25.981009,12.829885,46.361031,7.189947,47.352970,7.039333
1000,10,2,34.290970,9.720733,25.129974,13.264373,46.595989,7.153691,47.447086,7.025370
1000,10,2,34.346996,9.704875,25.147989,13.254870,46.584011,7.155531,47.326000,7.043345
1000,10,2,34.043999,9.791251,25.025993,13.319485,48.700005,6.844626,47.360985,7.038142
1000,10,2,35.583019,9.367764,25.084019,13.288673,46.427010,7.179729,47.124027,7.073532
1000,10,4,34.197987,9.747163,24.557949,13.573339,53.319992,6.251564,53.879021,6.186700
1000,10,4,35.069050,9.505058,23.060024,14.455029,52.836956,6.308716,54.090977,6.162457
1000,10,4,34.060001,9.786651,23.167997,14.387663,52.808998,6.312056,54.100021,6.161427
1000,10,4,34.493000,9.663796,23.101002,14.429389,53.377003,6.244887,54.765999,6.086502
1000,10,4,34.213005,9.742884,23.118019,14.418767,53.200005,6.265664,54.333031,6.135004
1000,10,4,34.467995,9.670807,23.065985,14.451295,53.325951,6.250865,54.723022,6.091281
1000,10,4,34.678005,9.612241,23.205004,14.364717,52.840008,6.308351,54.589005,6.106236
1000,10,6,35.261997,9.453048,34.480000,9.667440,77.930000,4.277343,79.676018,4.183609
1000,10,6,34.785004,9.582674,35.034000,9.514566,77.170013,4.319467,78.706978,4.235118
1000,10,6,34.120022,9.769435,35.075962,9.503184,75.648010,4.406373,77.915016,4.278166
1000,10,6,34.446060,9.676966,33.995987,9.805079,76.626060,4.350130,78.773026,4.231567
1000,10,6,34.772007,9.586255,31.250984,10.666331,53.436996,6.237876,54.447979,6.122052
1000,10,6,35.619019,9.358295,34.465969,9.671376,77.337982,4.310086,78.827026,4.228668
1000,10,6,34.341991,9.706290,31.830013,10.472297,52.837967,6.308595,53.816021,6.193943
1000,10,8,34.980000,9.529255,31.611979,10.544526,75.690987,4.403871,78.216911,4.261653
1000,10,8,35.385998,9.419922,30.785978,10.827440,77.721001,4.288845,79.671028,4.183872
1000,10,8,34.281013,9.723555,31.486988,10.586384,76.240005,4.372158,78.756989,4.232429
1000,10,8,34.321011,9.712224,31.452000,10.598160,79.425987,4.196779,80.884933,4.121081
1000,10,8,36.389999,9.160026,32.105000,10.382599,76.409996,4.362431,79.510002,4.192345
1000,10,8,36.717979,9.078204,31.820982,10.475268,79.558968,4.189764,80.582024,4.136572
1000,10,8,34.471989,9.669686,31.681002,10.521553,77.906013,4.278660,81.647995,4.082566
1000,10,10,35.938980,9.274981,72.869003,4.574419,101.733086,3.276548,94.925049,3.511543
1000,10,10,38.114010,8.745690,65.402000,5.096684,177.288025,1.880180,61.275959,5.439871
1000,10,10,36.801994,9.057480,60.427010,5.516297,142.663055,2.336508,77.516914,4.300137
1000,10,10,37.374004,8.918855,55.868000,5.966445,103.985008,3.205590,96.877991,3.440754
1000,10,10,35.515965,9.385450,73.524002,4.533667,104.496002,3.189915,95.008018,3.508476
1000,10,10,38.724007,8.607925,71.844040,4.639679,103.628036,3.216633,97.079041,3.433628
1000,10,10,39.500980,8.438609,86.977005,3.832431,152.332993,2.188189,75.209976,4.432036
